trade_index,datetime_utc,victim_size_usd,front_run_size_usd,victim_cost_baseline,victim_cost_actual,front_run_shares,back_run_revenue,attacker_profit,shares_lost,expected_value_lost,price_before,price_after_frontrun,price_after_victim,price_after_backrun,market,b,front_run_multiplier,min_victim_size_usd,price_impact
194,2025-06-20 01:44:56+00:00,603.0,1206.0,603.0,603.0,1205.9999999999964,1206.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
213,2025-06-20 16:26:14+00:00,200.0,400.0,200.0,200.0,399.99999999999636,400.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
217,2025-06-21 05:06:05+00:00,1679.073665,3358.14733,1679.0736650000035,1679.0736650000108,3358.147329999989,3358.1473299999925,-7.275957614183426e-12,-1.0913936421275139e-11,-1.0913936421275139e-11,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
226,2025-06-22 15:49:25+00:00,500.0,999.9999999999927,499.9999999999927,499.99999999998545,1000.0000000000036,1000.0,7.275957614183426e-12,1.4551915228366852e-11,1.4551915228366852e-11,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
230,2025-06-22 19:57:03+00:00,229.0,458.0000000000073,229.00000000000728,229.0,458.0000000000109,458.00000000001455,7.275957614183426e-12,1.4551915228366852e-11,1.4551915228366852e-11,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
233,2025-06-22 23:57:15+00:00,387.903224,775.8064479999957,387.9032240000015,387.90322399998695,775.8064480000066,775.8064479999957,0.0,3.637978807091713e-12,3.637978807091713e-12,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
234,2025-06-22 23:58:35+00:00,364.733332,729.4666640000141,364.7333320000107,364.73333200000343,729.4666640000141,729.4666640000214,7.275957614183426e-12,1.8189894035458565e-11,1.8189894035458565e-11,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
235,2025-06-23 00:05:51+00:00,906.4,1812.800000000003,906.4000000000087,906.3999999999942,1812.7999999999884,1812.7999999999884,-1.4551915228366852e-11,-7.275957614183426e-12,-7.275957614183426e-12,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
238,2025-06-23 00:10:59+00:00,222.0,444.0,222.0,222.0,443.9999999999927,444.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
239,2025-06-23 00:11:43+00:00,278.0,556.0,278.0,278.0,555.9999999999927,556.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
