market,b,front_run_multiplier,min_victim_size_usd,attacks_simulated,profitable_attacks,avg_attacker_profit,total_attacker_profit,max_attacker_profit,avg_shares_lost,total_shares_lost,avg_expected_value_lost,total_expected_value_lost,avg_price_impact,max_price_impact
NBA Finals Thunder vs Pacers,500.0,0.5,25.0,219,24,0.3322389996773418,72.76034092933784,111.16956268405625,0.6988023028121451,153.03770431585977,0.44541124400728016,97.54506243759435,0.0015438734226621259,0.2032825246993356
NBA Finals Thunder vs Pacers,500.0,0.5,50.0,187,21,0.541900591347537,101.33541058198941,117.54064229214362,0.7614657615279168,142.39409740572043,0.5044677371668694,94.33546685020458,0.0014713845140820383,0.21234197637603125
NBA Finals Thunder vs Pacers,500.0,0.5,100.0,158,15,0.8503710512800612,134.35862610224967,125.4103502928067,0.8962644321582335,141.6097802810009,0.5987426233621669,94.60133449122236,0.0015845680652214155,0.22322898231148225
NBA Finals Thunder vs Pacers,500.0,0.5,200.0,114,11,1.1672627269261249,133.06795086957823,125.4103502928067,1.2304733913450379,140.27396661333432,0.8186199455503695,93.32267379274212,0.0020914877385400546,0.22322898231148225
NBA Finals Thunder vs Pacers,500.0,1.0,25.0,219,27,0.31585349018421344,69.17191435034275,135.01257160045452,0.9071489640270618,198.66562312192653,0.5742770504854509,125.76667405631375,0.002304470234984159,0.26243640977240057
NBA Finals Thunder vs Pacers,500.0,1.0,50.0,187,21,0.5564906938322353,104.063759746628,143.6400199700422,0.9590590497833827,179.34404230949258,0.6382861209458297,119.35950461687015,0.002058447185189843,0.276292409240359
NBA Finals Thunder vs Pacers,500.0,1.0,100.0,158,20,1.0975646810333557,173.4152196032702,162.36497824048422,1.1597264365522908,183.23677697526193,0.7734108430875809,122.19891320783779,0.002192279621014217,0.30535033557750013
NBA Finals Thunder vs Pacers,500.0,1.0,200.0,114,12,1.4981010247434203,170.78351682074992,162.36497824048422,1.583382849249225,180.50564481441165,1.0490678268327942,119.59373225893854,0.0028250363980867315,0.30535033557750013
NBA Finals Thunder vs Pacers,500.0,2.0,25.0,219,28,0.35840585835753036,78.49088298029915,147.79550560707503,1.104290562795156,241.83963325213915,0.6814694214641613,149.24180330065133,0.0033344287951394998,0.2943371801808069
NBA Finals Thunder vs Pacers,500.0,2.0,50.0,187,22,0.42610666344717374,79.68194606462148,148.17589975184546,1.0579081671521373,197.8288272574497,0.7025656679887471,131.3797799138957,0.002578945102602446,0.29498445546022534
NBA Finals Thunder vs Pacers,500.0,2.0,100.0,158,20,1.2224556613737596,193.14799449705401,179.55976181892493,1.29304707151076,204.30143729870008,0.8647300961695382,136.62735519478704,0.0025899823670224925,0.3466750097292758
NBA Finals Thunder vs Pacers,500.0,2.0,200.0,114,14,1.6515734325811329,188.27937131424915,179.55976181892493,1.7477351351065293,199.24180540214434,1.1562241641783582,131.80955471633283,0.0031927300333517536,0.3466750097292758
NBA Finals Thunder vs Pacers,500.0,5.0,25.0,219,28,0.27126193834861717,59.40636449834716,143.53764336174572,1.3219632439951476,289.5099504349373,0.7846747430272227,171.84376872296178,0.005370336587415388,0.2885991506163377
NBA Finals Thunder vs Pacers,500.0,5.0,50.0,187,22,0.46357224301795485,86.68800944435756,150.42634269250811,1.2107840872369129,226.41662431330272,0.7766290497611662,145.22963230533807,0.0036236943290393372,0.3004744446094255
NBA Finals Thunder vs Pacers,500.0,5.0,100.0,158,21,1.2651974899346632,199.90120340967678,182.16736562563983,1.3380462134677824,211.41130172790963,0.9021478865640478,142.53936607711955,0.002879904016692081,0.35312701764522925
NBA Finals Thunder vs Pacers,500.0,5.0,200.0,114,16,1.6748509861646805,190.93301242277357,182.16736562563983,1.7726979618309517,202.0875676487285,1.1725002356253715,133.66502686129235,0.003250120823306922,0.35312701764522925
NBA Finals Thunder vs Pacers,1000.0,0.25,25.0,219,35,0.6413996041490866,140.46651330864995,117.79163970510547,1.0430739311275457,228.43319091693252,0.6449253448605202,141.23865052445393,0.0010302427316803335,0.10858346740641345
NBA Finals Thunder vs Pacers,1000.0,0.25,50.0,187,34,0.9930261598344987,185.69589188905127,125.13773976443042,1.2512022989945832,233.97482991198706,0.7686583915397125,143.73911921792623,0.0011142563172027154,0.11242447491211915
NBA Finals Thunder vs Pacers,1000.0,0.25,100.0,158,29,1.2759848455466345,201.60560559636826,127.94002146542459,1.484113457014584,234.48992620830427,0.9105774067591262,143.87123026794194,0.001240076246176702,0.11383860072178242
NBA Finals Thunder vs Pacers,1000.0,0.25,200.0,114,22,1.7512361374648564,199.64091967099364,127.94002146542459,2.036834516459509,232.19913487638405,1.2453922775577586,141.97471964158447,0.001595755306306628,0.11383860072178242
NBA Finals Thunder vs Pacers,1000.0,0.5,25.0,219,40,0.8280812771074151,181.3497996865239,177.51023624497816,1.5562889764511851,340.82728584280954,0.970228928969545,212.48013544433036,0.0017289667193095299,0.18423204587698927
NBA Finals Thunder vs Pacers,1000.0,0.5,50.0,187,32,1.5020292017518027,280.8794607275871,197.82132502575269,1.9559970184353694,365.7714424474141,1.1913652323681592,222.78529845284578,0.001903036842933036,0.19749654331059358
NBA Finals Thunder vs Pacers,1000.0,0.5,100.0,158,32,2.00329191695406,316.5201228787415,205.9043805967534,2.3571884348723957,372.4357727098385,1.4236638569261157,224.93888939432628,0.002116198772072646,0.20249619210765946
